Zeit,Messung,Sensor,Wert
2024-08-15T12:35:55.093379055Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98938389247165
2024-08-15T12:37:02.228311103Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98924994522922
2024-08-15T12:56:33.348012227Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.9892978204509
2024-08-15T13:16:33.289638209Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98930198039616
2024-08-15T13:36:33.23814168Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98927258481667
2024-08-15T13:56:33.201434762Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98927003059286
2024-08-15T14:16:33.08194062Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98929956569648
2024-08-15T14:36:33.102386375Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98930213204301
2024-08-15T14:56:33.074151138Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98930235503643
2024-08-16T10:39:48.332683698Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98933213145399
2024-08-16T10:59:48.344705523Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98930496172672
2024-08-16T11:19:47.46333324Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,97.98933235795289
2024-08-16T11:39:47.325470405Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.13219552344252
2024-08-16T11:59:47.229882316Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47028726538069
2024-08-16T12:19:47.183930384Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49354560003731
2024-08-16T12:59:47.093845598Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49439013994488
2024-08-16T13:19:47.088985611Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49445814527337
2024-08-16T13:39:47.048865141Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49296507010386
2024-08-16T13:59:47.006052358Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49287422336242
2024-08-16T14:19:46.901920631Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49286690787707
2024-08-16T14:39:46.907878292Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49286631879328
2024-08-16T14:59:46.854870554Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49286627135697
2024-08-16T15:19:46.826624275Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49289565098829
2024-08-16T15:39:46.761662446Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49292740024782
2024-08-16T15:59:46.677406262Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49292995687313
2024-08-16T16:59:46.56799802Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49304769651683
2024-08-16T17:39:46.425904337Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49296902722888
2024-08-16T17:59:46.486954391Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49305084267164
2024-08-16T18:19:46.398276189Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49311619775413
2024-08-16T18:39:46.338232843Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49312146048798
2024-08-16T18:59:46.246884681Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49312188427082
2024-08-16T19:39:46.19661517Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49323945209674
2024-08-16T19:59:46.236331399Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49339583631928
2024-08-16T20:19:46.235825891Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49343781253809
2024-08-16T20:39:46.013528138Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49344119266358
2024-08-16T20:59:46.012649111Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49344146484734
2024-08-16T21:19:46.026407238Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49344148676487
2024-08-16T21:39:45.915996855Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49347087192892
2024-08-16T21:59:45.890715093Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49359077173493
2024-08-16T22:19:45.768588646Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49362980999948
2024-08-16T22:39:45.78162304Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4936917202979
2024-08-16T22:59:45.770060728Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49375547233844
2024-08-16T23:19:45.700492347Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49367245580524
2024-08-16T23:39:45.58312417Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49369515432633
2024-08-16T23:59:45.613573031Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49384389897223
2024-08-17T00:19:45.500674578Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49391464323811
2024-08-17T00:39:45.500665114Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49394972321141
2024-08-17T00:59:45.410301395Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49398193134523
2024-08-17T01:19:45.430429055Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49407267491691
2024-08-17T01:39:45.380181978Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49407998193968
2024-08-17T01:59:45.339604105Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49410995367053
2024-08-17T02:19:45.287100565Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4941417504466
2024-08-17T02:39:45.233054388Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49484951036877
2024-08-17T03:39:45.103023001Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49549416620135
2024-08-17T03:59:45.135185669Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49548730868273
2024-08-17T04:19:45.106052213Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4958393549453
2024-08-17T04:39:44.965656595Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49589708536406
2024-08-17T05:19:44.873221409Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4959311170641
2024-08-17T06:19:44.784062703Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49581632462224
2024-08-17T06:39:44.642990056Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49586584775304
2024-08-17T06:59:44.654554888Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4958404522364
2024-08-17T07:19:44.568435507Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49580902417274
2024-08-17T07:39:44.534033631Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49577711035639
2024-08-17T07:59:44.513130344Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49577454061208
2024-08-17T08:19:44.471292524Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49577433369271
2024-08-17T08:59:44.382319528Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4955686346614
2024-08-17T09:19:44.300801784Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49555207143666
2024-08-17T09:39:44.38204793Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49558012094585
2024-08-17T10:19:44.20709503Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49549422991126
2024-08-17T10:39:44.158567087Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49531101448956
2024-08-17T10:59:44.057756479Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49247546253625
2024-08-17T11:19:44.146348958Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.49048411413736
2024-08-17T11:59:43.975204382Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.48926593974322
2024-08-17T12:19:43.92453403Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.48872708243556
2024-08-17T12:39:43.886824918Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.48568652689364
2024-08-17T12:59:43.91121117Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.48494212395441
2024-08-17T13:19:43.825612573Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47991621948117
2024-08-17T13:39:43.818690833Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47851233615889
2024-08-17T13:59:43.701125029Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47792910238712
2024-08-17T14:19:43.664656307Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4765010365712
2024-08-17T14:39:43.60215754Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47632723732683
2024-08-17T14:59:43.577821529Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47631323788201
2024-08-17T15:19:43.4615416Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47634149518142
2024-08-17T15:39:43.519666449Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47631438634583
2024-08-17T15:59:43.418794966Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47640035758084
2024-08-17T16:19:43.370660588Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47640728251666
2024-08-17T16:59:43.339579645Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47643722525618
2024-08-17T17:19:43.238885772Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4764690220626
2024-08-17T17:39:43.140334976Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47638342846044
2024-08-17T17:59:43.191614148Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47640591888556
2024-08-17T18:39:43.051276023Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4764371154165
2024-08-17T18:59:43.005155845Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47646901321511
2024-08-17T19:19:42.958973204Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.476500967496
2024-08-17T19:39:42.858390789Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47656231125154
2024-08-17T19:59:42.86512919Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47668479213371
2024-08-17T20:19:42.770475299Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47684158240375
2024-08-17T20:39:42.77898393Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47703052104596
2024-08-17T20:59:42.763805754Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47716327929957
2024-08-17T21:19:42.770245113Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47720335762922
2024-08-17T21:39:42.644123616Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47726535560338
2024-08-17T21:59:42.591910536Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47727034942824
2024-08-17T22:19:42.512410022Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.4773882911078
2024-08-17T22:39:42.461588415Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47739779107721
2024-08-17T22:59:42.466377552Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47748671082594
2024-08-17T23:19:42.370830209Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47755264280488
2024-08-17T23:39:42.389651627Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47752856864143
2024-08-17T23:59:42.339427879Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,102.47755601435921
