Zeit,Messung,Sensor,Wert
2025-05-01T00:11:21.424486311Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T00:31:21.371942258Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T00:51:21.387981495Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T01:11:21.238494308Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T01:31:21.241131844Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T01:51:21.266332674Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T02:11:21.16318787Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T02:31:21.071872705Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T02:51:21.037491723Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T03:11:21.051873694Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T03:31:21.00854454Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T03:51:20.923695547Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T04:11:20.881002802Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T04:31:20.888906582Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T04:51:20.850224394Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T05:11:20.828277344Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T05:31:20.777790349Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T05:51:20.737151398Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T06:11:20.701405119Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T06:31:20.656736158Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T06:51:20.560577868Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T07:11:20.589853886Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T07:31:20.543267689Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T07:51:20.510129706Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T08:11:20.478700459Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T08:31:20.417599582Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T08:51:20.47751009Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T09:11:20.329836641Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T09:31:20.280063442Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T09:51:20.243236353Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-05-01T10:11:20.18955568Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
