Zeit,Messung,Sensor,Wert
2025-06-01T00:09:59.026831472Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T00:29:58.990058765Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T00:49:58.93741835Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T01:09:58.905642641Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T01:29:58.802595898Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T01:49:58.82134369Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T02:09:58.771805428Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T02:29:58.725596347Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T02:49:58.689228322Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T03:09:58.64162203Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T03:29:58.647663439Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T03:49:58.554619953Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T04:09:58.455713797Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T04:29:58.410251004Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T04:49:58.440210652Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T05:09:58.338810345Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T05:29:58.336157137Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T05:49:58.288067676Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T06:09:58.258326862Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T06:29:58.207783032Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T06:49:58.164462515Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T07:09:58.124568831Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T07:29:58.09136707Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T07:49:58.037757346Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T08:09:58.001682869Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T08:29:57.941430928Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T08:49:57.869918112Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T09:09:57.804221505Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T09:29:57.753196549Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T09:49:57.760675695Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T10:09:57.723689873Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T10:29:57.715501629Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T10:49:57.605889914Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T11:09:57.607226699Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T11:29:57.493080221Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T11:49:57.456917336Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T12:09:57.461868761Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T12:29:57.454939301Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T12:49:57.334650419Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T13:09:57.324874515Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T13:29:57.21842707Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T13:49:57.217809241Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T14:09:57.106901712Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T14:29:57.119560202Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T14:49:57.088914009Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T15:09:57.026663502Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T15:29:56.984101163Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T15:49:56.973434849Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T16:09:56.889655634Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T16:29:56.843661401Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T16:49:56.745219043Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T17:09:56.823618827Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T17:29:56.702536265Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T17:49:56.601100011Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T18:09:56.624441893Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T18:29:56.565969354Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T18:49:56.514032547Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T19:09:56.459494316Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T19:29:56.435589117Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T19:49:56.381060354Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T20:09:56.328747448Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T20:29:56.23319503Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T20:49:56.230398824Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T21:09:56.18276962Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T21:29:56.140896086Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T21:49:56.154008345Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T22:09:56.053607222Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T22:29:56.007042588Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T22:49:55.957024496Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T23:09:55.878661097Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T23:29:55.872919743Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-01T23:49:55.832509242Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T00:09:55.780736544Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T00:29:55.749779131Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T00:49:55.703538301Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T01:09:55.661412586Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T01:29:55.601986036Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T01:49:55.563446779Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T02:09:55.529319677Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T02:29:55.474218719Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T02:49:55.430046167Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T03:09:55.341551749Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T03:29:55.403184748Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T03:49:55.304925909Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T04:09:55.253652334Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T04:29:55.16190899Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T04:49:55.175211137Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T05:09:55.07930319Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T05:29:55.041675587Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T05:49:55.039688743Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T06:09:55.002818301Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T06:29:54.953789521Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T06:49:54.99525696Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T07:09:54.873181521Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T07:29:54.833736199Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T07:49:54.791374064Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T08:09:54.830318679Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T08:29:54.690056479Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-06-02T08:49:54.700958619Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
