Zeit,Messung,Sensor,Wert
2025-08-01T00:06:49.856207412Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T00:26:49.763921956Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T00:46:49.793614238Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T01:06:49.774803706Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T01:26:49.560975534Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T01:46:49.654455778Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T02:06:49.628414858Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T02:26:49.528657216Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T02:46:49.536123652Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T03:06:49.504352532Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T03:26:49.482283622Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T03:46:49.36943264Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T04:06:49.347548752Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T04:26:49.351017944Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T04:46:49.312545431Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T05:06:49.271113579Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T05:26:49.177896904Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T05:46:49.190148247Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T06:06:49.1014823Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T06:26:49.108362586Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T06:46:49.071015045Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T07:06:49.033041791Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T07:26:49.018951037Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T07:46:48.953094064Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T08:06:48.920337196Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T08:26:48.88128683Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T08:46:48.831065977Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T09:06:48.788113379Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T09:26:48.748905858Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T09:46:48.735020489Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T10:06:48.616708529Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T10:26:48.574477952Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T10:46:48.542644663Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T11:06:48.549804045Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-08-01T11:26:48.448476571Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
