Zeit,Messung,Sensor,Wert
2026-04-01T00:02:11.526460273Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T00:22:11.472369544Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T00:42:11.458946241Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T01:02:11.437884122Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T01:22:11.421037065Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T01:42:11.400607627Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T02:02:11.31543781Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T02:22:11.388114013Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T02:42:11.365661504Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T03:02:11.365705495Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T03:22:11.260572517Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T03:42:11.31107393Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T04:02:11.303997642Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T04:22:11.196085442Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T04:42:11.274674497Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T05:02:11.269546574Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T05:22:11.240835422Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T05:42:11.22457356Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T06:02:11.233549756Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T06:22:11.111246378Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T06:42:10.782557288Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T07:02:11.097866333Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T07:22:11.209871395Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T07:42:11.168242477Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T08:02:11.105161961Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T08:22:11.088048074Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T08:42:11.110400477Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T09:02:10.960944314Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T09:22:11.012109272Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T09:42:10.915267858Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T10:02:10.965543045Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T10:22:10.869820312Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T10:42:10.909544697Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T11:02:10.887684889Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T11:22:10.861093815Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T11:42:10.772567137Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T12:02:10.812772945Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T12:22:10.775917443Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T12:42:10.769697812Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T13:02:10.721234476Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T13:22:10.681708421Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T13:42:10.656843076Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T14:02:10.653599064Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T14:22:10.603084347Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T14:42:10.57316892Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T15:02:10.544644844Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T15:22:10.436642888Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T15:42:10.493624858Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T16:02:10.469205194Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T16:22:10.352928871Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T16:42:10.412037186Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T17:02:10.319196252Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T17:22:10.368824225Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T17:42:10.352804999Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T18:02:10.319220452Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T18:22:10.22130842Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T18:42:10.262996826Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T19:02:10.256075137Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-04-01T19:22:10.228543795Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
