Zeit,Messung,Sensor,Wert
2025-12-01T00:02:51.878226521Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T00:22:51.866947931Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T00:42:51.922407264Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T01:02:51.859096303Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T01:22:51.795334669Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T01:42:51.762598975Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T02:02:51.756747511Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T02:22:51.812229072Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T02:42:51.790620427Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T03:02:51.701840451Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T03:22:51.760812307Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T03:42:51.642842722Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T04:02:51.713524596Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T04:22:51.688250676Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T04:42:51.582272286Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T05:02:51.653520235Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T05:22:51.637057764Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T05:42:51.613556235Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T06:02:51.664481886Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T06:22:51.497424854Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T06:42:51.474172753Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T07:02:51.48436388Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T07:22:51.534557968Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T07:42:51.527196011Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T08:02:51.475537136Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T08:22:51.443527958Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T08:42:51.432363975Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T09:02:51.332993581Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T09:22:51.402233575Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T09:42:51.368963198Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T10:02:51.343352753Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T10:22:51.241689395Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T10:42:51.305084135Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T11:02:51.210584367Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T11:22:51.257639856Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T11:42:51.186282214Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T12:02:51.211087737Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T12:22:51.196437554Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T12:42:51.185511289Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T13:02:51.1501654Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T13:22:51.126051923Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T13:42:51.105337703Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T14:02:51.084836167Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T14:22:50.893576127Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T14:42:50.964043844Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T15:02:50.932967994Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T15:22:51.001569682Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T15:42:50.895960668Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T16:02:50.957609258Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T16:22:51.039092401Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T16:42:50.857751746Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T17:02:50.893591587Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T17:22:50.873680854Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T17:42:50.852178098Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T18:02:50.839106505Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T18:22:50.82179212Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T18:42:50.845691918Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T19:02:50.777901819Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T19:22:50.680210022Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T19:42:50.7090452Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T20:02:50.728497846Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T20:22:50.692493192Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T20:42:50.719610038Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T21:02:50.571611103Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T21:22:50.646674457Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T21:42:50.615156706Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T22:02:50.510703586Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T22:22:50.508919705Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T22:42:50.566008182Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T23:02:50.545309296Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T23:22:50.457129185Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-01T23:42:50.506804232Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-02T00:02:50.480679119Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-02T00:22:50.469741219Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-02T00:42:50.36871274Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-02T01:02:50.427666466Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-12-02T01:22:50.410258587Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
