Zeit,Messung,Sensor,Wert
2026-02-01T00:01:51.510227286Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T00:21:51.371963308Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T00:41:51.371347234Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T01:01:51.39864025Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T01:21:51.41787898Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T01:41:51.400717708Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T02:01:51.407616677Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T02:21:51.397266375Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T02:41:51.373215827Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T03:01:51.36514121Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T03:21:51.35457501Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T03:41:51.279212086Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T04:01:51.463330538Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T04:21:51.330909058Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T04:41:51.321428071Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T05:01:51.232083147Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T05:21:51.212610434Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T05:41:51.225159568Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T06:01:51.189816374Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T06:21:51.193639942Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T06:41:51.272163648Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T07:01:51.247959786Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T07:21:51.2391676Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T07:41:51.272644774Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-02-01T08:01:51.13448487Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
