Zeit,Messung,Sensor,Wert
2026-05-02T13:47:26Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,199.7394536
2026-05-02T13:49:38Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,199.7394536
2026-05-02T15:47:26Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,199.7394536
2026-05-01T00:00:57.421348852Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T00:20:57.391994507Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T00:40:57.443355963Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T01:00:57.424682763Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T01:20:57.401598468Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T01:40:57.298276203Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T02:00:57.253805032Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T02:20:57.296036859Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T02:40:57.433711474Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T03:00:57.244846975Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T03:20:57.281235996Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T03:40:57.196977053Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T04:00:57.163008902Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T04:20:57.144670696Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T04:40:57.141481239Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T05:00:57.093086769Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T05:20:56.988859774Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T05:40:57.041104045Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T06:00:57.022222037Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T06:20:56.996744807Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T06:40:56.961089539Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T07:00:56.853327446Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T07:20:56.908400514Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T07:40:56.875937048Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T08:00:56.833590034Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T08:20:56.80200876Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T08:40:56.763170798Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-05-01T09:00:56.741878291Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
