Zeit,Messung,Sensor,Wert
2026-03-01T00:03:10.824311355Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T00:23:10.877738218Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T00:43:10.76155568Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T01:03:10.712924445Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T01:23:10.692205886Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T01:43:10.659553605Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T02:03:10.628248859Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T02:23:10.426052732Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T02:43:10.565093001Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T03:03:10.548171442Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T03:23:10.500720342Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T03:43:10.473748204Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T04:03:10.545590464Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T04:23:10.429499698Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T04:43:10.385101821Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T05:03:10.373616441Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T05:23:10.327320461Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T05:43:10.300127135Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T06:03:10.279157979Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T06:23:10.242045734Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T06:43:10.140957582Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T07:03:10.120814088Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T07:23:10.209352159Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T07:43:10.14938578Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T08:03:10.111818895Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T08:23:10.016653325Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T08:43:10.057815528Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T09:03:10.022911259Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T09:23:09.921554081Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T09:43:09.961682414Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T10:03:09.953535475Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T10:23:09.849508726Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T10:43:09.889788724Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T11:03:09.849367472Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T11:23:09.751833273Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T11:43:09.787365702Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T12:03:09.672695553Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T12:23:09.658861118Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T12:43:09.633774742Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T13:03:09.68889774Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T13:23:09.64357404Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T13:43:09.553491929Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T14:03:09.594980494Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T14:23:09.556676902Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T14:43:09.514015755Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T15:03:09.497047819Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T15:23:09.46448267Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T15:43:09.432869237Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T16:03:09.409568901Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T16:23:09.3104071Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T16:43:09.350385057Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T17:03:09.312520216Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T17:23:09.282168618Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T17:43:09.279453906Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T18:03:09.228123108Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T18:23:09.228764697Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T18:43:09.172506554Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T19:03:09.219454361Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T19:23:09.12508881Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T19:43:09.105558176Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T20:03:09.061712316Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T20:23:09.056170297Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T20:43:09.009229882Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T21:03:08.99236702Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T21:23:08.896821994Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T21:43:08.954279274Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T22:03:08.911321967Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2026-03-01T22:23:08.894516859Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
