Zeit,Messung,Sensor,Wert
2025-11-01T00:03:41.309540171Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T00:23:41.202867077Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T00:43:41.238222253Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T01:03:41.209311632Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T01:23:41.170952255Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T01:43:41.057063258Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T02:03:41.040832464Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T02:23:41.078609152Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T02:43:41.041111807Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T03:03:40.954540317Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T03:23:40.983201035Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T03:43:40.881372375Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T04:03:40.978285978Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T04:23:40.816560437Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T04:43:40.857964272Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T05:03:40.817963772Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T05:23:40.722618283Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T05:43:40.775391363Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T06:03:40.790463062Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T06:23:40.705500519Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T06:43:40.595125214Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T07:03:40.474178415Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T07:23:40.6026085Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T07:43:40.570368597Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T08:03:40.53090179Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T08:23:40.520826036Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T08:43:40.468266101Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T09:03:40.364724617Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T09:23:40.432419534Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T09:43:40.361532627Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T10:03:40.31863057Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T10:23:40.293867012Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-11-01T10:43:40.252136341Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
