Zeit,Messung,Sensor,Wert
2025-10-01T00:02:41.228883228Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T00:22:41.184441718Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T00:42:41.151098267Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T01:02:41.117276311Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T01:22:41.104966497Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T01:42:41.064403307Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T02:02:41.034893473Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T02:22:41.003986077Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T02:42:40.974020277Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T03:02:40.954675342Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T03:22:40.929325614Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T03:42:40.892648163Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T04:02:40.957119495Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T04:22:40.829927811Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T04:42:40.799039835Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T05:02:40.779988151Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T05:22:40.752926632Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T05:42:40.724387716Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T06:02:40.700195834Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T06:22:40.664951172Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T06:42:40.644739631Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-10-01T07:02:40.62730665Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
