Zeit,Messung,Sensor,Wert
2025-09-01T00:04:05.360449449Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T00:24:05.317891346Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T00:44:05.28083479Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T01:04:05.244748139Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T01:24:05.197436028Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T01:44:05.165393749Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T02:04:05.130455536Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T02:24:05.082106902Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T02:44:05.056483116Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T03:04:05.012974921Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T03:24:04.972032624Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T03:44:04.928877149Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T04:04:04.89138856Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T04:24:04.858323684Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T04:44:04.806906876Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T05:04:04.777218704Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T05:24:04.734551786Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T05:44:04.704432761Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T06:04:04.658231582Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T06:24:04.620407275Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T06:44:04.576813937Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T07:04:04.537162558Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T07:24:04.198644715Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T07:44:04.460440119Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T08:04:04.410641036Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
2025-09-01T08:24:04.376018827Z,device_frmpayload_data_DC4_1_circumference,B1_DC4/1,0
